No.,Subject,Subject_2,Gender,Type,"No.
entered",No. of candidates fulfilling attendance requirement,Attained with Distinction (II),"Attained with Distinction (I)
or above",Attained or above,Unattained
1,Applied Science,Animal Care,Male,Number,15,13,1,7,13,0
2,Applied Science,Animal Care,Male,Percentage,,,7.7%,53.8%,100.0%,0.0%
3,Applied Science,Animal Care,Female,Number,39,37,11,24,36,1
4,Applied Science,Animal Care,Female,Percentage,,,29.7%,64.9%,97.3%,2.7%
5,Applied Science,Animal Care,Total,Number,54,50,12,31,49,1
6,Applied Science,Animal Care,Total,Percentage,,,24.0%,62.0%,98.0%,2.0%
7,Applied Science,Applied Psychology,Male,Number,90,83,5,35,75,8
8,Applied Science,Applied Psychology,Male,Percentage,,,6.0%,42.2%,90.4%,9.6%
9,Applied Science,Applied Psychology,Female,Number,75,68,16,39,68,0
10,Applied Science,Applied Psychology,Female,Percentage,,,23.5%,57.4%,100.0%,0.0%
11,Applied Science,Applied Psychology,Total,Number,165,151,21,74,143,8
12,Applied Science,Applied Psychology,Total,Percentage,,,13.9%,49.0%,94.7%,5.3%
13,Applied Science,Exercise Science and Health Fitness,Male,Number,47,38,3,13,33,5
14,Applied Science,Exercise Science and Health Fitness,Male,Percentage,,,7.9%,34.2%,86.8%,13.2%
15,Applied Science,Exercise Science and Health Fitness,Female,Number,28,23,3,10,21,2
16,Applied Science,Exercise Science and Health Fitness,Female,Percentage,,,13.0%,43.5%,91.3%,8.7%
17,Applied Science,Exercise Science and Health Fitness,Total,Number,75,61,6,23,54,7
18,Applied Science,Exercise Science and Health Fitness,Total,Percentage,,,9.8%,37.7%,88.5%,11.5%
19,Applied Science,Foundation in Chinese Medicine,Male,Number,30,27,4,12,26,1
20,Applied Science,Foundation in Chinese Medicine,Male,Percentage,,,14.8%,44.4%,96.3%,3.7%
21,Applied Science,Foundation in Chinese Medicine,Female,Number,43,42,4,20,39,3
22,Applied Science,Foundation in Chinese Medicine,Female,Percentage,,,9.5%,47.6%,92.9%,7.1%
23,Applied Science,Foundation in Chinese Medicine,Total,Number,73,69,8,32,65,4
24,Applied Science,Foundation in Chinese Medicine,Total,Percentage,,,11.6%,46.4%,94.2%,5.8%
25,Applied Science,Health Care Practice,Male,Number,42,34,1,5,32,2
26,Applied Science,Health Care Practice,Male,Percentage,,,2.9%,14.7%,94.1%,5.9%
27,Applied Science,Health Care Practice,Female,Number,148,138,13,47,138,0
28,Applied Science,Health Care Practice,Female,Percentage,,,9.4%,34.1%,100.0%,0.0%
29,Applied Science,Health Care Practice,Total,Number,190,172,14,52,170,2
30,Applied Science,Health Care Practice,Total,Percentage,,,8.1%,30.2%,98.8%,1.2%
31,Applied Science,Medical Laboratory Science,Male,Number,23,22,8,16,16,6
32,Applied Science,Medical Laboratory Science,Male,Percentage,,,36.4%,72.7%,72.7%,27.3%
33,Applied Science,Medical Laboratory Science,Female,Number,33,33,7,16,18,15
34,Applied Science,Medical Laboratory Science,Female,Percentage,,,21.2%,48.5%,54.5%,45.5%
35,Applied Science,Medical Laboratory Science,Total,Number,56,55,15,32,34,21
36,Applied Science,Medical Laboratory Science,Total,Percentage,,,27.3%,58.2%,61.8%,38.2%
37,Applied Science,Practical Psychology,Male,Number,52,50,3,16,46,4
38,Applied Science,Practical Psychology,Male,Percentage,,,6.0%,32.0%,92.0%,8.0%
39,Applied Science,Practical Psychology,Female,Number,34,32,9,21,32,0
40,Applied Science,Practical Psychology,Female,Percentage,,,28.1%,65.6%,100.0%,0.0%
41,Applied Science,Practical Psychology,Total,Number,86,82,12,37,78,4
42,Applied Science,Practical Psychology,Total,Percentage,,,14.6%,45.1%,95.1%,4.9%
43,Applied Science,Sports and Fitness Coaching,Male,Number,78,77,1,8,64,13
44,Applied Science,Sports and Fitness Coaching,Male,Percentage,,,1.3%,10.4%,83.1%,16.9%
45,Applied Science,Sports and Fitness Coaching,Female,Number,29,29,0,4,27,2
46,Applied Science,Sports and Fitness Coaching,Female,Percentage,,,0.0%,13.8%,93.1%,6.9%
47,Applied Science,Sports and Fitness Coaching,Total,Number,107,106,1,12,91,15
48,Applied Science,Sports and Fitness Coaching,Total,Percentage,,,0.9%,11.3%,85.8%,14.2%
49,"Business, Management and Law",Accounting in Practice,Male,Number,27,15,0,3,12,3
50,"Business, Management and Law",Accounting in Practice,Male,Percentage,,,0.0%,20.0%,80.0%,20.0%
51,"Business, Management and Law",Accounting in Practice,Female,Number,26,18,5,9,18,0
52,"Business, Management and Law",Accounting in Practice,Female,Percentage,,,27.8%,50.0%,100.0%,0.0%
53,"Business, Management and Law",Accounting in Practice,Total,Number,53,33,5,12,30,3
54,"Business, Management and Law",Accounting in Practice,Total,Percentage,,,15.2%,36.4%,90.9%,9.1%
55,"Business, Management and Law",Entrepreneurship for SME,Male,Number,30,30,2,4,29,1
56,"Business, Management and Law",Entrepreneurship for SME,Male,Percentage,,,6.7%,13.3%,96.7%,3.3%
57,"Business, Management and Law",Entrepreneurship for SME,Female,Number,13,13,1,3,12,1
58,"Business, Management and Law",Entrepreneurship for SME,Female,Percentage,,,7.7%,23.1%,92.3%,7.7%
59,"Business, Management and Law",Entrepreneurship for SME,Total,Number,43,43,3,7,41,2
60,"Business, Management and Law",Entrepreneurship for SME,Total,Percentage,,,7.0%,16.3%,95.3%,4.7%
61,"Business, Management and Law",Law Enforcement in Hong Kong,Male,Number,24,22,1,5,18,4
62,"Business, Management and Law",Law Enforcement in Hong Kong,Male,Percentage,,,4.5%,22.7%,81.8%,18.2%
63,"Business, Management and Law",Law Enforcement in Hong Kong,Female,Number,13,12,0,3,12,0
64,"Business, Management and Law",Law Enforcement in Hong Kong,Female,Percentage,,,0.0%,25.0%,100.0%,0.0%
65,"Business, Management and Law",Law Enforcement in Hong Kong,Total,Number,37,34,1,8,30,4
66,"Business, Management and Law",Law Enforcement in Hong Kong,Total,Percentage,,,2.9%,23.5%,88.2%,11.8%
67,"Business, Management and Law",Marketing and Online Promotion,Male,Number,12,9,0,1,9,0
68,"Business, Management and Law",Marketing and Online Promotion,Male,Percentage,,,0.0%,11.1%,100.0%,0.0%
69,"Business, Management and Law",Marketing and Online Promotion,Female,Number,12,11,3,8,11,0
70,"Business, Management and Law",Marketing and Online Promotion,Female,Percentage,,,27.3%,72.7%,100.0%,0.0%
71,"Business, Management and Law",Marketing and Online Promotion,Total,Number,24,20,3,9,20,0
72,"Business, Management and Law",Marketing and Online Promotion,Total,Percentage,,,15.0%,45.0%,100.0%,0.0%
73,Creative Studies,Computer Game and Animation Design,Male,Number,147,143,9,29,134,9
74,Creative Studies,Computer Game and Animation Design,Male,Percentage,,,6.3%,20.3%,93.7%,6.3%
75,Creative Studies,Computer Game and Animation Design,Female,Number,38,37,5,13,37,0
76,Creative Studies,Computer Game and Animation Design,Female,Percentage,,,13.5%,35.1%,100.0%,0.0%
