No.,Subject,Subject_2,Gender,Type,"No.
entered",No. of candidates fulfilling attendance requirement,Attained with Distinction (II),"Attained with Distinction (I)
or above",Attained or above,Unattained
1,Applied Science,Animal Care,Male,Number,15,13,1,7,13,0
2,Applied Science,Animal Care,Male,Percentage,,,7.7%,53.8%,100.0%,0.0%
3,Applied Science,Animal Care,Female,Number,39,37,11,24,36,1
4,Applied Science,Animal Care,Female,Percentage,,,29.7%,64.9%,97.3%,2.7%
5,Applied Science,Animal Care,Total,Number,54,50,12,31,49,1
6,Applied Science,Animal Care,Total,Percentage,,,24.0%,62.0%,98.0%,2.0%
7,Applied Science,Applied Psychology,Male,Number,90,83,5,35,75,8
8,Applied Science,Applied Psychology,Male,Percentage,,,6.0%,42.2%,90.4%,9.6%
9,Applied Science,Applied Psychology,Female,Number,75,68,16,39,68,0
10,Applied Science,Applied Psychology,Female,Percentage,,,23.5%,57.4%,100.0%,0.0%
11,Applied Science,Applied Psychology,Total,Number,165,151,21,74,143,8
12,Applied Science,Applied Psychology,Total,Percentage,,,13.9%,49.0%,94.7%,5.3%
13,Applied Science,Exercise Science and Health Fitness,Male,Number,46,37,3,13,33,4
14,Applied Science,Exercise Science and Health Fitness,Male,Percentage,,,8.1%,35.1%,89.2%,10.8%
15,Applied Science,Exercise Science and Health Fitness,Female,Number,28,23,3,10,21,2
16,Applied Science,Exercise Science and Health Fitness,Female,Percentage,,,13.0%,43.5%,91.3%,8.7%
17,Applied Science,Exercise Science and Health Fitness,Total,Number,74,60,6,23,54,6
18,Applied Science,Exercise Science and Health Fitness,Total,Percentage,,,10.0%,38.3%,90.0%,10.0%
19,Applied Science,Foundation in Chinese Medicine,Male,Number,30,27,4,12,26,1
20,Applied Science,Foundation in Chinese Medicine,Male,Percentage,,,14.8%,44.4%,96.3%,3.7%
21,Applied Science,Foundation in Chinese Medicine,Female,Number,42,41,3,19,38,3
22,Applied Science,Foundation in Chinese Medicine,Female,Percentage,,,7.3%,46.3%,92.7%,7.3%
23,Applied Science,Foundation in Chinese Medicine,Total,Number,72,68,7,31,64,4
24,Applied Science,Foundation in Chinese Medicine,Total,Percentage,,,10.3%,45.6%,94.1%,5.9%
25,Applied Science,Health Care Practice,Male,Number,41,34,1,5,32,2
26,Applied Science,Health Care Practice,Male,Percentage,,,2.9%,14.7%,94.1%,5.9%
27,Applied Science,Health Care Practice,Female,Number,147,137,13,47,137,0
28,Applied Science,Health Care Practice,Female,Percentage,,,9.5%,34.3%,100.0%,0.0%
29,Applied Science,Health Care Practice,Total,Number,188,171,14,52,169,2
30,Applied Science,Health Care Practice,Total,Percentage,,,8.2%,30.4%,98.8%,1.2%
31,Applied Science,Medical Laboratory Science,Male,Number,23,22,8,16,16,6
32,Applied Science,Medical Laboratory Science,Male,Percentage,,,36.4%,72.7%,72.7%,27.3%
33,Applied Science,Medical Laboratory Science,Female,Number,33,33,7,16,18,15
34,Applied Science,Medical Laboratory Science,Female,Percentage,,,21.2%,48.5%,54.5%,45.5%
35,Applied Science,Medical Laboratory Science,Total,Number,56,55,15,32,34,21
36,Applied Science,Medical Laboratory Science,Total,Percentage,,,27.3%,58.2%,61.8%,38.2%
37,Applied Science,Practical Psychology,Male,Number,50,48,3,16,44,4
38,Applied Science,Practical Psychology,Male,Percentage,,,6.3%,33.3%,91.7%,8.3%
39,Applied Science,Practical Psychology,Female,Number,32,30,8,19,30,0
40,Applied Science,Practical Psychology,Female,Percentage,,,26.7%,63.3%,100.0%,0.0%
41,Applied Science,Practical Psychology,Total,Number,82,78,11,35,74,4
42,Applied Science,Practical Psychology,Total,Percentage,,,14.1%,44.9%,94.9%,5.1%
43,Applied Science,Sports and Fitness Coaching,Male,Number,78,77,1,8,64,13
44,Applied Science,Sports and Fitness Coaching,Male,Percentage,,,1.3%,10.4%,83.1%,16.9%
45,Applied Science,Sports and Fitness Coaching,Female,Number,28,28,0,4,27,1
46,Applied Science,Sports and Fitness Coaching,Female,Percentage,,,0.0%,14.3%,96.4%,3.6%
47,Applied Science,Sports and Fitness Coaching,Total,Number,106,105,1,12,91,14
48,Applied Science,Sports and Fitness Coaching,Total,Percentage,,,1.0%,11.4%,86.7%,13.3%
49,"Business, Management and Law",Accounting in Practice,Male,Number,27,15,0,3,12,3
50,"Business, Management and Law",Accounting in Practice,Male,Percentage,,,0.0%,20.0%,80.0%,20.0%
51,"Business, Management and Law",Accounting in Practice,Female,Number,25,18,5,9,18,0
52,"Business, Management and Law",Accounting in Practice,Female,Percentage,,,27.8%,50.0%,100.0%,0.0%
53,"Business, Management and Law",Accounting in Practice,Total,Number,52,33,5,12,30,3
54,"Business, Management and Law",Accounting in Practice,Total,Percentage,,,15.2%,36.4%,90.9%,9.1%
55,"Business, Management and Law",Entrepreneurship for SME,Male,Number,30,30,2,4,29,1
56,"Business, Management and Law",Entrepreneurship for SME,Male,Percentage,,,6.7%,13.3%,96.7%,3.3%
57,"Business, Management and Law",Entrepreneurship for SME,Female,Number,13,13,1,3,12,1
58,"Business, Management and Law",Entrepreneurship for SME,Female,Percentage,,,7.7%,23.1%,92.3%,7.7%
59,"Business, Management and Law",Entrepreneurship for SME,Total,Number,43,43,3,7,41,2
60,"Business, Management and Law",Entrepreneurship for SME,Total,Percentage,,,7.0%,16.3%,95.3%,4.7%
61,"Business, Management and Law",Law Enforcement in Hong Kong,Male,Number,23,21,1,5,18,3
62,"Business, Management and Law",Law Enforcement in Hong Kong,Male,Percentage,,,4.8%,23.8%,85.7%,14.3%
63,"Business, Management and Law",Law Enforcement in Hong Kong,Female,Number,13,12,0,3,12,0
64,"Business, Management and Law",Law Enforcement in Hong Kong,Female,Percentage,,,0.0%,25.0%,100.0%,0.0%
65,"Business, Management and Law",Law Enforcement in Hong Kong,Total,Number,36,33,1,8,30,3
66,"Business, Management and Law",Law Enforcement in Hong Kong,Total,Percentage,,,3.0%,24.2%,90.9%,9.1%
67,"Business, Management and Law",Marketing and Online Promotion,Male,Number,12,9,0,1,9,0
68,"Business, Management and Law",Marketing and Online Promotion,Male,Percentage,,,0.0%,11.1%,100.0%,0.0%
69,"Business, Management and Law",Marketing and Online Promotion,Female,Number,11,10,3,8,10,0
70,"Business, Management and Law",Marketing and Online Promotion,Female,Percentage,,,30.0%,80.0%,100.0%,0.0%
71,"Business, Management and Law",Marketing and Online Promotion,Total,Number,23,19,3,9,19,0
72,"Business, Management and Law",Marketing and Online Promotion,Total,Percentage,,,15.8%,47.4%,100.0%,0.0%
73,Creative Studies,Computer Game and Animation Design,Male,Number,140,136,9,29,130,6
74,Creative Studies,Computer Game and Animation Design,Male,Percentage,,,6.6%,21.3%,95.6%,4.4%
75,Creative Studies,Computer Game and Animation Design,Female,Number,36,35,5,13,35,0
76,Creative Studies,Computer Game and Animation Design,Female,Percentage,,,14.3%,37.1%,100.0%,0.0%
