No.,Subject,Subject_2,Gender,Type,"No.
entered",No. of candidates fulfilling attendance requirement,Attained with Distinction,Attained or above,Unattained
1,Applied Learning Chinese (for non-Chinese speaking students),Chinese for the Service Industry,Male,Number,66,64,13,56,8
2,Applied Learning Chinese (for non-Chinese speaking students),Chinese for the Service Industry,Male,Percentage,,,20.3%,87.5%,12.5%
3,Applied Learning Chinese (for non-Chinese speaking students),Chinese for the Service Industry,Female,Number,49,46,17,44,2
4,Applied Learning Chinese (for non-Chinese speaking students),Chinese for the Service Industry,Female,Percentage,,,37.0%,95.7%,4.3%
5,Applied Learning Chinese (for non-Chinese speaking students),Chinese for the Service Industry,Total,Number,115,110,30,100,10
6,Applied Learning Chinese (for non-Chinese speaking students),Chinese for the Service Industry,Total,Percentage,,,27.3%,90.9%,9.1%
7,Applied Learning Chinese (for non-Chinese speaking students),Practical Chinese in Hospitality,Male,Number,11,9,2,8,1
8,Applied Learning Chinese (for non-Chinese speaking students),Practical Chinese in Hospitality,Male,Percentage,,,22.2%,88.9%,11.1%
9,Applied Learning Chinese (for non-Chinese speaking students),Practical Chinese in Hospitality,Female,Number,16,15,3,12,3
10,Applied Learning Chinese (for non-Chinese speaking students),Practical Chinese in Hospitality,Female,Percentage,,,20.0%,80.0%,20.0%
11,Applied Learning Chinese (for non-Chinese speaking students),Practical Chinese in Hospitality,Total,Number,27,24,5,20,4
12,Applied Learning Chinese (for non-Chinese speaking students),Practical Chinese in Hospitality,Total,Percentage,,,20.8%,83.3%,16.7%
13,Applied Learning Chinese (for non-Chinese speaking students),,Male,Number,77,73,15,64,9
14,Applied Learning Chinese (for non-Chinese speaking students),,Male,Percentage,,,20.5%,87.7%,12.3%
15,Applied Learning Chinese (for non-Chinese speaking students),,Female,Number,65,61,20,56,5
16,Applied Learning Chinese (for non-Chinese speaking students),,Female,Percentage,,,32.8%,91.8%,8.2%
17,Applied Learning Chinese (for non-Chinese speaking students),,Total,Number,142,134,35,120,14
18,Applied Learning Chinese (for non-Chinese speaking students),,Total,Percentage,,,26.1%,89.6%,10.4%
