No,Subject,Subject_2,Gender,Type,"No.
entered",No. sat,"Chinese version
%",Performance - 5**,Performance - 5*+,Performance - 5+,Performance - 4+,Performance - 3+,Performance - 2+,Performance - 1+,Performance - U
1,Biology,,Male,Number,5970,5659,,145,510,1163,2653,4022,5055,5439,220
2,Biology,,Male,Percentage,,,43.8,2.6%,9.0%,20.6%,46.9%,71.1%,89.3%,96.1%,3.9%
3,Biology,,Female,Number,7959,7702,,124,558,1484,3614,5559,7019,7520,182
4,Biology,,Female,Percentage,,,36.3,1.6%,7.2%,19.3%,46.9%,72.2%,91.1%,97.6%,2.4%
5,Biology,,Total,Number,13929,13361,,269,1068,2647,6267,9581,12074,12959,402
6,Biology,,Total,Percentage,,,39.5,2.0%,8.0%,19.8%,46.9%,71.7%,90.4%,97.0%,3.0%
7,"Business, Accounting and Financial Studies",Accounting,Male,Number,3419,3148,,54,190,450,1358,2150,2805,3034,114
8,"Business, Accounting and Financial Studies",Accounting,Male,Percentage,,,39.6,1.7%,6.0%,14.3%,43.1%,68.3%,89.1%,96.4%,3.6%
9,"Business, Accounting and Financial Studies",Accounting,Female,Number,4207,4055,,52,208,539,1846,2927,3724,3968,87
10,"Business, Accounting and Financial Studies",Accounting,Female,Percentage,,,31.5,1.3%,5.1%,13.3%,45.5%,72.2%,91.8%,97.9%,2.1%
11,"Business, Accounting and Financial Studies",Accounting,Total,Number,7626,7203,,106,398,989,3204,5077,6529,7002,201
12,"Business, Accounting and Financial Studies",Accounting,Total,Percentage,,,35.1,1.5%,5.5%,13.7%,44.5%,70.5%,90.6%,97.2%,2.8%
13,"Business, Accounting and Financial Studies",Business Management,Male,Number,1268,1159,,11,30,77,322,629,975,1102,57
14,"Business, Accounting and Financial Studies",Business Management,Male,Percentage,,,76.9,0.9%,2.6%,6.6%,27.8%,54.3%,84.1%,95.1%,4.9%
15,"Business, Accounting and Financial Studies",Business Management,Female,Number,1437,1378,,8,41,102,433,829,1225,1340,38
16,"Business, Accounting and Financial Studies",Business Management,Female,Percentage,,,71.8,0.6%,3.0%,7.4%,31.4%,60.2%,88.9%,97.2%,2.8%
17,"Business, Accounting and Financial Studies",Business Management,Total,Number,2705,2537,,19,71,179,755,1458,2200,2442,95
18,"Business, Accounting and Financial Studies",Business Management,Total,Percentage,,,74.1,0.7%,2.8%,7.1%,29.8%,57.5%,86.7%,96.3%,3.7%
19,Chemistry,,Male,Number,7514,7083,,219,842,1976,3806,5394,6189,6745,338
20,Chemistry,,Male,Percentage,,,28.1,3.1%,11.9%,27.9%,53.7%,76.2%,87.4%,95.2%,4.8%
21,Chemistry,,Female,Number,6093,5884,,127,543,1459,3076,4466,5164,5657,227
22,Chemistry,,Female,Percentage,,,20.0,2.2%,9.2%,24.8%,52.3%,75.9%,87.8%,96.1%,3.9%
23,Chemistry,,Total,Number,13607,12967,,346,1385,3435,6882,9860,11353,12402,565
24,Chemistry,,Total,Percentage,,,24.4,2.7%,10.7%,26.5%,53.1%,76.0%,87.6%,95.6%,4.4%
