No.,Subject,Subject_2,Gender,Type,"No.
entered",No. of candidates fulfilling attendance requirement,Attained with Distinction (II),"Attained with Distinction (I)
or above",Attained or above,Unattained
1,Applied Science,Animal Care,Male,Number,15,15,2,9,14,1
2,Applied Science,Animal Care,Male,Percentage,,,13.3%,60.0%,93.3%,6.7%
3,Applied Science,Animal Care,Female,Number,35,33,10,23,33,0
4,Applied Science,Animal Care,Female,Percentage,,,30.3%,69.7%,100.0%,0.0%
5,Applied Science,Animal Care,Total,Number,50,48,12,32,47,1
6,Applied Science,Animal Care,Total,Percentage,,,25.0%,66.7%,97.9%,2.1%
7,Applied Science,Applied Psychology,Male,Number,69,63,5,22,61,2
8,Applied Science,Applied Psychology,Male,Percentage,,,7.9%,34.9%,96.8%,3.2%
9,Applied Science,Applied Psychology,Female,Number,68,67,9,29,66,1
10,Applied Science,Applied Psychology,Female,Percentage,,,13.4%,43.3%,98.5%,1.5%
11,Applied Science,Applied Psychology,Total,Number,137,130,14,51,127,3
12,Applied Science,Applied Psychology,Total,Percentage,,,10.8%,39.2%,97.7%,2.3%
13,Applied Science,Exercise Science and Health Fitness,Male,Number,44,38,2,12,36,2
14,Applied Science,Exercise Science and Health Fitness,Male,Percentage,,,5.3%,31.6%,94.7%,5.3%
15,Applied Science,Exercise Science and Health Fitness,Female,Number,18,17,2,7,17,0
16,Applied Science,Exercise Science and Health Fitness,Female,Percentage,,,11.8%,41.2%,100.0%,0.0%
17,Applied Science,Exercise Science and Health Fitness,Total,Number,62,55,4,19,53,2
18,Applied Science,Exercise Science and Health Fitness,Total,Percentage,,,7.3%,34.5%,96.4%,3.6%
19,Applied Science,Foundation in Chinese Medicine,Male,Number,51,43,6,13,38,5
20,Applied Science,Foundation in Chinese Medicine,Male,Percentage,,,14.0%,30.2%,88.4%,11.6%
21,Applied Science,Foundation in Chinese Medicine,Female,Number,64,62,11,34,59,3
22,Applied Science,Foundation in Chinese Medicine,Female,Percentage,,,17.7%,54.8%,95.2%,4.8%
23,Applied Science,Foundation in Chinese Medicine,Total,Number,115,105,17,47,97,8
24,Applied Science,Foundation in Chinese Medicine,Total,Percentage,,,16.2%,44.8%,92.4%,7.6%
25,Applied Science,Health Care Practice,Male,Number,42,38,2,13,37,1
26,Applied Science,Health Care Practice,Male,Percentage,,,5.3%,34.2%,97.4%,2.6%
27,Applied Science,Health Care Practice,Female,Number,88,82,15,38,82,0
28,Applied Science,Health Care Practice,Female,Percentage,,,18.3%,46.3%,100.0%,0.0%
29,Applied Science,Health Care Practice,Total,Number,130,120,17,51,119,1
30,Applied Science,Health Care Practice,Total,Percentage,,,14.2%,42.5%,99.2%,0.8%
31,Applied Science,Practical Psychology,Male,Number,60,56,4,16,44,12
32,Applied Science,Practical Psychology,Male,Percentage,,,7.1%,28.6%,78.6%,21.4%
33,Applied Science,Practical Psychology,Female,Number,57,55,15,31,53,2
34,Applied Science,Practical Psychology,Female,Percentage,,,27.3%,56.4%,96.4%,3.6%
35,Applied Science,Practical Psychology,Total,Number,117,111,19,47,97,14
36,Applied Science,Practical Psychology,Total,Percentage,,,17.1%,42.3%,87.4%,12.6%
37,Applied Science,Sports and Fitness Coaching,Male,Number,97,78,4,11,66,12
38,Applied Science,Sports and Fitness Coaching,Male,Percentage,,,5.1%,14.1%,84.6%,15.4%
39,Applied Science,Sports and Fitness Coaching,Female,Number,25,22,0,3,19,3
40,Applied Science,Sports and Fitness Coaching,Female,Percentage,,,0.0%,13.6%,86.4%,13.6%
41,Applied Science,Sports and Fitness Coaching,Total,Number,122,100,4,14,85,15
42,Applied Science,Sports and Fitness Coaching,Total,Percentage,,,4.0%,14.0%,85.0%,15.0%
43,"Business, Management and Law",Accounting in Practice,Male,Number,25,25,5,11,21,4
44,"Business, Management and Law",Accounting in Practice,Male,Percentage,,,20.0%,44.0%,84.0%,16.0%
45,"Business, Management and Law",Accounting in Practice,Female,Number,18,18,2,3,17,1
46,"Business, Management and Law",Accounting in Practice,Female,Percentage,,,11.1%,16.7%,94.4%,5.6%
47,"Business, Management and Law",Accounting in Practice,Total,Number,43,43,7,14,38,5
48,"Business, Management and Law",Accounting in Practice,Total,Percentage,,,16.3%,32.6%,88.4%,11.6%
49,"Business, Management and Law",Business Data Analysis,Male,Number,7,7,1,3,7,0
50,"Business, Management and Law",Business Data Analysis,Male,Percentage,,,14.3%,42.9%,100.0%,0.0%
51,"Business, Management and Law",Business Data Analysis,Female,Number,1,1,1,1,1,0
52,"Business, Management and Law",Business Data Analysis,Female,Percentage,,,100.0%,100.0%,100.0%,0.0%
53,"Business, Management and Law",Business Data Analysis,Total,Number,8,8,2,4,8,0
