No.,Subject,Subject_2,Gender,Type,"No.
entered",No. of candidates fulfilling attendance requirement,Attained with Distinction (II),"Attained with Distinction (I)
or above",Attained or above,Unattained
1,Applied Science,Animal Care,Male,Number,15,15,2,9,14,1
2,Applied Science,Animal Care,Male,Percentage,,,13.3%,60.0%,93.3%,6.7%
3,Applied Science,Animal Care,Female,Number,35,33,10,23,33,0
4,Applied Science,Animal Care,Female,Percentage,,,30.3%,69.7%,100.0%,0.0%
5,Applied Science,Animal Care,Total,Number,50,48,12,32,47,1
6,Applied Science,Animal Care,Total,Percentage,,,25.0%,66.7%,97.9%,2.1%
7,Applied Science,Applied Psychology,Male,Number,54,48,5,22,46,2
8,Applied Science,Applied Psychology,Male,Percentage,,,10.4%,45.8%,95.8%,4.2%
9,Applied Science,Applied Psychology,Female,Number,57,57,9,29,56,1
10,Applied Science,Applied Psychology,Female,Percentage,,,15.8%,50.9%,98.2%,1.8%
11,Applied Science,Applied Psychology,Total,Number,111,105,14,51,102,3
12,Applied Science,Applied Psychology,Total,Percentage,,,13.3%,48.6%,97.1%,2.9%
13,Applied Science,Exercise Science and Health Fitness,Male,Number,43,38,2,12,36,2
14,Applied Science,Exercise Science and Health Fitness,Male,Percentage,,,5.3%,31.6%,94.7%,5.3%
15,Applied Science,Exercise Science and Health Fitness,Female,Number,17,16,2,7,16,0
16,Applied Science,Exercise Science and Health Fitness,Female,Percentage,,,12.5%,43.8%,100.0%,0.0%
17,Applied Science,Exercise Science and Health Fitness,Total,Number,60,54,4,19,52,2
18,Applied Science,Exercise Science and Health Fitness,Total,Percentage,,,7.4%,35.2%,96.3%,3.7%
19,Applied Science,Foundation in Chinese Medicine,Male,Number,46,39,5,12,35,4
20,Applied Science,Foundation in Chinese Medicine,Male,Percentage,,,12.8%,30.8%,89.7%,10.3%
21,Applied Science,Foundation in Chinese Medicine,Female,Number,64,62,11,34,59,3
22,Applied Science,Foundation in Chinese Medicine,Female,Percentage,,,17.7%,54.8%,95.2%,4.8%
23,Applied Science,Foundation in Chinese Medicine,Total,Number,110,101,16,46,94,7
24,Applied Science,Foundation in Chinese Medicine,Total,Percentage,,,15.8%,45.5%,93.1%,6.9%
25,Applied Science,Health Care Practice,Male,Number,40,37,2,13,36,1
26,Applied Science,Health Care Practice,Male,Percentage,,,5.4%,35.1%,97.3%,2.7%
27,Applied Science,Health Care Practice,Female,Number,86,80,15,38,80,0
28,Applied Science,Health Care Practice,Female,Percentage,,,18.8%,47.5%,100.0%,0.0%
29,Applied Science,Health Care Practice,Total,Number,126,117,17,51,116,1
30,Applied Science,Health Care Practice,Total,Percentage,,,14.5%,43.6%,99.1%,0.9%
31,Applied Science,Practical Psychology,Male,Number,60,56,4,16,44,12
32,Applied Science,Practical Psychology,Male,Percentage,,,7.1%,28.6%,78.6%,21.4%
33,Applied Science,Practical Psychology,Female,Number,56,54,15,31,52,2
34,Applied Science,Practical Psychology,Female,Percentage,,,27.8%,57.4%,96.3%,3.7%
35,Applied Science,Practical Psychology,Total,Number,116,110,19,47,96,14
36,Applied Science,Practical Psychology,Total,Percentage,,,17.3%,42.7%,87.3%,12.7%
37,Applied Science,Sports and Fitness Coaching,Male,Number,92,75,4,11,63,12
38,Applied Science,Sports and Fitness Coaching,Male,Percentage,,,5.3%,14.7%,84.0%,16.0%
39,Applied Science,Sports and Fitness Coaching,Female,Number,25,22,0,3,19,3
40,Applied Science,Sports and Fitness Coaching,Female,Percentage,,,0.0%,13.6%,86.4%,13.6%
41,Applied Science,Sports and Fitness Coaching,Total,Number,117,97,4,14,82,15
42,Applied Science,Sports and Fitness Coaching,Total,Percentage,,,4.1%,14.4%,84.5%,15.5%
43,"Business, Management and Law",Accounting in Practice,Male,Number,24,24,5,11,20,4
44,"Business, Management and Law",Accounting in Practice,Male,Percentage,,,20.8%,45.8%,83.3%,16.7%
45,"Business, Management and Law",Accounting in Practice,Female,Number,18,18,2,3,17,1
46,"Business, Management and Law",Accounting in Practice,Female,Percentage,,,11.1%,16.7%,94.4%,5.6%
47,"Business, Management and Law",Accounting in Practice,Total,Number,42,42,7,14,37,5
48,"Business, Management and Law",Accounting in Practice,Total,Percentage,,,16.7%,33.3%,88.1%,11.9%
49,"Business, Management and Law",Business Data Analysis,Male,Number,7,7,1,3,7,0
50,"Business, Management and Law",Business Data Analysis,Male,Percentage,,,14.3%,42.9%,100.0%,0.0%
51,"Business, Management and Law",Business Data Analysis,Female,Number,1,1,1,1,1,0
52,"Business, Management and Law",Business Data Analysis,Female,Percentage,,,100.0%,100.0%,100.0%,0.0%
53,"Business, Management and Law",Business Data Analysis,Total,Number,8,8,2,4,8,0
