No.,Subject,Subject_2,Gender,Type,No. entered,No. of candidates fulfilling attendance requirement,Attained with Distinction (II),Attained with Distinction (I) or above,Attained or above,Unattained
1,Applied Science,Animal Care,Male,Number,10,8,0,3,6,2
2,Applied Science,Animal Care,Male,Percentage,,,0.0%,37.5%,75.0%,25.0%
3,Applied Science,Animal Care,Female,Number,32,28,4,15,24,4
4,Applied Science,Animal Care,Female,Percentage,,,14.3%,53.6%,85.7%,14.3%
5,Applied Science,Animal Care,Total,Number,42,36,4,18,30,6
6,Applied Science,Animal Care,Total,Percentage,,,11.1%,50.0%,83.3%,16.7%
7,Applied Science,Applied Psychology,Male,Number,33,29,1,6,29,0
8,Applied Science,Applied Psychology,Male,Percentage,,,3.4%,20.7%,100.0%,0.0%
9,Applied Science,Applied Psychology,Female,Number,60,56,9,27,54,2
10,Applied Science,Applied Psychology,Female,Percentage,,,16.1%,48.2%,96.4%,3.6%
11,Applied Science,Applied Psychology,Total,Number,93,85,10,33,83,2
12,Applied Science,Applied Psychology,Total,Percentage,,,11.8%,38.8%,97.6%,2.4%
13,Applied Science,Exercise Science and Health Fitness,Male,Number,67,45,3,12,40,5
14,Applied Science,Exercise Science and Health Fitness,Male,Percentage,,,6.7%,26.7%,88.9%,11.1%
15,Applied Science,Exercise Science and Health Fitness,Female,Number,15,14,1,7,13,1
16,Applied Science,Exercise Science and Health Fitness,Female,Percentage,,,7.1%,50.0%,92.9%,7.1%
17,Applied Science,Exercise Science and Health Fitness,Total,Number,82,59,4,19,53,6
18,Applied Science,Exercise Science and Health Fitness,Total,Percentage,,,6.8%,32.2%,89.8%,10.2%
19,Applied Science,Foundation in Chinese Medicine,Male,Number,41,41,6,17,38,3
20,Applied Science,Foundation in Chinese Medicine,Male,Percentage,,,14.6%,41.5%,92.7%,7.3%
21,Applied Science,Foundation in Chinese Medicine,Female,Number,42,42,11,23,40,2
22,Applied Science,Foundation in Chinese Medicine,Female,Percentage,,,26.2%,54.8%,95.2%,4.8%
23,Applied Science,Foundation in Chinese Medicine,Total,Number,83,83,17,40,78,5
24,Applied Science,Foundation in Chinese Medicine,Total,Percentage,,,20.5%,48.2%,94.0%,6.0%
25,Applied Science,Health Care Practice,Male,Number,36,35,3,11,31,4
26,Applied Science,Health Care Practice,Male,Percentage,,,8.6%,31.4%,88.6%,11.4%
27,Applied Science,Health Care Practice,Female,Number,95,89,8,34,84,5
28,Applied Science,Health Care Practice,Female,Percentage,,,9.0%,38.2%,94.4%,5.6%
